bike_id,times_used,duration,miles
14977,147.0,97584.0,311.72666666666663
14991,129.0,69879.0,223.2245833333333
16218,3.0,2613.0,8.347083333333332
16590,33.0,22863.0,73.03458333333333
16768,12.0,7950.0,25.395833333333332
18372,105.0,248079.0,792.4745833333336
18729,51.0,20328.0,64.93666666666665
19473,120.0,47892.0,152.98833333333334
19572,69.0,197298.0,630.2574999999999
21326,78.0,36351.0,116.12124999999997
21491,60.0,26238.0,83.81583333333333
22467,33.0,9255.0,29.564583333333335
24892,207.0,132450.0,423.10416666666663
25659,333.0,165984.0,530.2266666666668
25738,24.0,10827.0,34.58624999999999
26151,306.0,172623.0,551.4345833333339
26152,231.0,104562.0,334.01749999999987
26153,237.0,138300.0,441.7916666666663
26155,303.0,190005.0,606.9604166666659
26157,12.0,5337.0,17.04875
26158,69.0,47997.0,153.32375
26159,123.0,102948.0,328.8616666666666
26160,162.0,121440.0,387.9333333333334
26161,288.0,570426.0,1822.1941666666671
26162,270.0,145434.0,464.58083333333303
26163,216.0,165693.0,529.2970833333336
26164,141.0,58395.0,186.53958333333327
26165,138.0,67746.0,216.4108333333332
26166,69.0,42339.0,135.24958333333333
26167,219.0,116985.0,373.70208333333346
26169,150.0,72924.0,232.95166666666668
26170,324.0,188535.0,602.2645833333328
26172,276.0,152094.0,485.8558333333337
26173,288.0,151827.0,485.00291666666624
26174,162.0,401307.0,1281.9529166666675
26175,237.0,116670.0,372.69583333333327
26177,159.0,90588.0,289.3783333333332
26178,261.0,161400.0,515.5833333333335
26179,219.0,110292.0,352.3216666666668
26181,207.0,164181.0,524.4670833333331
26182,132.0,62721.0,200.35875
26183,189.0,87609.0,279.8620833333334
26184,66.0,74835.0,239.05625
26185,255.0,149127.0,476.3779166666664
26187,264.0,186603.0,596.0929166666663
26188,156.0,237972.0,760.1883333333333
26189,51.0,31704.0,101.27666666666667
26190,198.0,138165.0,441.3604166666667
26191,258.0,128022.0,408.9591666666668
26192,255.0,138267.0,441.6862500000003
26193,261.0,160038.0,511.23249999999973
26195,243.0,118512.0,378.5800000000002
26196,168.0,108315.0,346.00625
26197,222.0,108024.0,345.07666666666677
26198,234.0,140892.0,450.07166666666694
26199,180.0,121212.0,387.205
26200,249.0,157125.0,501.92708333333354
26201,240.0,182199.0,582.0245833333332
26202,198.0,164556.0,525.6650000000001
26203,204.0,98082.0,313.3175000000002
26205,237.0,139452.0,445.4716666666669
26206,276.0,127455.0,407.1479166666665
26207,204.0,133404.0,426.1516666666668
26208,228.0,101298.0,323.5908333333335
26209,225.0,143520.0,458.4666666666671
26210,198.0,195720.0,625.2166666666664
26211,192.0,2372853.0,7579.947083333331
26212,228.0,99057.0,316.4320833333333
26213,234.0,122466.0,391.2108333333335
26214,144.0,55422.0,177.0425
26215,210.0,95169.0,304.01208333333324
26216,168.0,93120.0,297.4666666666667
26217,186.0,419259.0,1339.2995833333332
26219,168.0,67815.0,216.63125000000008
26220,78.0,59406.0,189.76916666666673
26221,153.0,71403.0,228.09291666666664
26222,213.0,121305.0,387.50208333333313
26223,252.0,104178.0,332.79083333333347
26224,219.0,120681.0,385.5087500000003
26225,276.0,178545.0,570.3520833333332
26226,207.0,108729.0,347.32875000000007
26227,246.0,148455.0,474.2312499999998
26228,66.0,28344.0,90.54333333333334
26229,108.0,629325.0,2010.3437499999993
26230,216.0,104943.0,335.2345833333333
26232,213.0,261363.0,834.9095833333337
26233,225.0,163356.0,521.8316666666668
26234,153.0,124710.0,398.3791666666667
26235,153.0,89571.0,286.12958333333336
26236,264.0,130404.0,416.56833333333367
26237,276.0,118338.0,378.024166666667
26239,120.0,57960.0,185.15000000000003
26240,243.0,132387.0,422.9029166666668
26242,282.0,162822.0,520.1258333333337
26243,261.0,144627.0,462.0029166666664
26244,222.0,129261.0,412.91708333333327
26247,252.0,188568.0,602.3699999999997
26248,252.0,994299.0,3176.232916666668
26249,204.0,144102.0,460.3258333333332
26250,165.0,107088.0,342.08666666666653
26251,201.0,194481.0,621.2587499999998
26252,69.0,32151.0,102.70458333333335
26253,270.0,159987.0,511.06958333333364
26255,198.0,88182.0,281.6925000000001
26257,264.0,125949.0,402.33708333333317
26258,165.0,95028.0,303.5616666666666
26259,204.0,89493.0,285.88041666666663
26260,291.0,164394.0,525.1475000000005
26261,198.0,95550.0,305.22916666666663
26263,141.0,169677.0,542.02375
26264,258.0,173811.0,555.2295833333332
26265,231.0,150405.0,480.4604166666665
26266,162.0,101583.0,324.50125
26267,216.0,151752.0,484.7633333333333
26268,273.0,153651.0,490.8295833333334
26269,285.0,180114.0,575.3641666666671
26271,189.0,124833.0,398.7720833333332
26272,177.0,110862.0,354.14250000000004
26273,216.0,97803.0,312.4262499999999
26274,294.0,221178.0,706.5408333333331
26275,201.0,104220.0,332.925
26276,243.0,126336.0,403.57333333333355
26277,93.0,44445.0,141.97708333333327
26278,207.0,88791.0,283.6379166666666
26279,189.0,92373.0,295.0804166666668
26280,180.0,115869.0,370.1370833333331
26281,210.0,112572.0,359.6050000000001
26282,231.0,115317.0,368.37375
26283,144.0,90540.0,289.2249999999999
26285,201.0,1450938.0,4634.940833333333
26286,231.0,224988.0,718.7116666666661
26287,180.0,108192.0,345.61333333333334
26288,237.0,220329.0,703.8287500000002
26290,141.0,70311.0,224.60458333333327
26291,111.0,54735.0,174.84791666666672
26292,240.0,113907.0,363.86958333333354
26293,201.0,117972.0,376.8550000000002
26294,189.0,104901.0,335.1004166666667
26295,207.0,112734.0,360.1225000000003
26296,15.0,12033.0,38.43875
26297,204.0,112164.0,358.30166666666656
26298,270.0,146619.0,468.3662499999997
26299,186.0,90837.0,290.17374999999987
26300,183.0,119895.0,382.9979166666666
26301,153.0,97386.0,311.09416666666675
26302,147.0,76485.0,244.32708333333346
26303,273.0,211647.0,676.0945833333337
26304,192.0,113106.0,361.3108333333335
26305,171.0,75888.0,242.41999999999982
26306,216.0,105522.0,337.08416666666665
26307,102.0,87063.0,278.11791666666676
26308,270.0,169182.0,540.4424999999999
26309,288.0,178533.0,570.3137499999999
26310,147.0,80508.0,257.17833333333334
26311,159.0,105693.0,337.6304166666665
26312,246.0,258057.0,824.3487500000003
26314,195.0,100020.0,319.50833333333344
26315,222.0,101331.0,323.6962500000001
26316,51.0,34854.0,111.3391666666667
26318,195.0,271194.0,866.3141666666662
26431,222.0,122280.0,390.61666666666673
26618,99.0,147441.0,470.99208333333326
26706,180.0,76392.0,244.03
26734,105.0,69690.0,222.62083333333345
26961,240.0,123417.0,394.24875000000003
27083,276.0,119640.0,382.1833333333335
27204,54.0,36210.0,115.67083333333333
27226,171.0,85830.0,274.17916666666656
27558,261.0,345546.0,1103.8274999999994
27686,156.0,114447.0,365.59458333333333
27743,3.0,1749.0,5.587083333333333
28025,48.0,39054.0,124.75583333333336
28795,60.0,34749.0,111.00375000000003
29120,162.0,161988.0,517.4616666666666
29121,240.0,142323.0,454.6429166666668
29122,180.0,109221.0,348.9004166666667
29124,222.0,137781.0,440.13375000000013
29125,195.0,124440.0,397.5166666666666
